ID,出現形,出現形よみ,正規形,正規形よみ,出現形EN,出現形ZH,REL:IS-A,REL:PART-OF,REL:CAUSAL,LEVEL:用語難易度,YEAR,TREE,TO:Lilak,TO:J-CaseMap,TO:日本医学会医学用語辞典,TO:UMLS,TO:SNOMED-CT-IPS,TO:AIH,TO:ICD-10,TO:ICD-11,TO:HPO,TO:MedDRA/J,TYPE:症状,TYPE:診断名,TYPE:否定,出現形_flag,出現形よみ_flag,正規形_flag,正規形よみ_flag,出現形EN_flag,出現形ZH_flag,REL:IS-A_flag,REL:PART-OF_flag,REL:CAUSAL_flag,LEVEL:用語難易度_flag,YEAR_flag,TREE_flag,TO:Lilak_flag,TO:J-CaseMap_flag,TO:日本医学会医学用語辞典_flag,TO:UMLS_flag,TO:SNOMED-CT-IPS_flag,TO:AIH_flag,TO:ICD-10_flag,TO:ICD-11_flag,TO:HPO_flag,TO:MedDRA/J_flag,TYPE:症状_flag,TYPE:診断名_flag,TYPE:否定_flag,FREQ:GLOBAL,FREQ:LOCAL,SOURCE
7170bd6bf3b55fe8e4e68030b4ecc3b5,疼痛,とうつう,疼痛,とうつう,pain,,,,,,,R529,20078399,,2032866,,,,R529,,疼痛,疼痛,1.0,1.0,,,,S,,,,,,,,,,,,,,,,,,,,,,,3231.0,95-100%,MANBYO;JST;JAMSMDIC;Lilak
452e73e41e6a1256585fe4c30ece9a7e,発熱,はつねつ,発熱,はつねつ,generation of heat,,,,,,,R509,20073895,,2006509,,,,R509,,発熱,発熱,1.0,1.0,,,,S,,,,,,,,,,,,,,,,,,,,,,,3128.0,95-100%,MANBYO;JST;JAMSMDIC;Lilak
db3e933d6da53e1fe0975fc01f19231a,嘔気,おうき,嘔気,おうき,nausea,,,,,,,R11,20078207,,[NULL],,,,R11,,吐気,嘔気,1.0,1.0,,,,S,,,,,,,,,,,,,,,,,,,,,,,132.0,95-100%,MANBYO;JST;Lilak
9139b0afb9659a3d9844600f05752964,出血,しゅっけつ,出血,しゅっけつ,bleeding,,,,,,,R58,20064160,,2018868,,,,R58,,-1,出血,1.0,1.0,,,,S,,,,,,,,,,,,,,,,,,,,,,,4282.0,95-100%,MANBYO;JST;JAMSMDIC;Lilak
b41877e5d586b1b557850fd91ad9fe5e,糖尿病,とうにょうびょう,糖尿病,とうにょうびょう,diabetes mellitus,,,,,,,E14,20071549,,2025396,,,,E14,,糖尿病,糖尿病,0.0,1.0,,,,S,,,,,,,,,,,,,,,,,,,,,,,10535.0,95-100%,MANBYO;JST;JAMSMDIC;Lilak
b1a196dbe3357d246cbce5666af20d06,発赤,ほっせき,発赤,ほっせき,rubefaction (reddening of the skin),,,,,,,R21,20073879,,2013159,,,,R21,,-1,発赤,1.0,0.0,,,,S,,,,,,,,,,,,,,,,,,,,,,,606.0,95-100%,MANBYO;JST;JAMSMDIC;Lilak
65446d5d3cfd912414dcb5f43ac2a19b,浮腫,ふしゅ,浮腫,ふしゅ,swelling,,,,,,,R609,20075189,,2001027,,,,R609,,浮腫,浮腫,1.0,1.0,,,,S,,,,,,,,,,,,,,,,,,,,,,,1680.0,95-100%,MANBYO;JST;JAMSMDIC;Lilak
39667c4ad9f0b141c8f54d3620995a6b,頭痛,ずつう,頭痛,ずつう,headache,,,,,,,R51,20071762,,2034416,,,,R51,,頭痛,頭痛,1.0,1.0,,,,S,,,,,,,,,,,,,,,,,,,,,,,1916.0,95-100%,MANBYO;JST;JAMSMDIC;Lilak
cccaaf177f9bd9a212e8e2c1c5e65c19,貧血,ひんけつ,貧血,ひんけつ,anaemia,,,,,,,D649,20075070,,2026224,,,,D649,,貧血,貧血,0.0,1.0,,,,S,,,,,,,,,,,,,,,,,,,,,,,2324.0,95-100%,MANBYO;JST;JAMSMDIC;Lilak
0a342f31a225ef91440bd15449cd344e,圧痛,あっつう,圧痛,あっつう,tenderness,,,,,,,R529,20053986,,2050380,,,,R529,,-1,圧痛,1.0,0.0,,,,S,,,,,,,,,,,,,,,,,,,,,,,814.0,95-100%,MANBYO;JST;JAMSMDIC;Lilak
